_input,_num,_widgetName,_source,_resultNumber,_pageUrl,address,price,price/_source,price/_currency,price/_title,price/_text,bedrooms,bedrooms/_source,full_bathrooms,full_bathrooms/_source,half_bathrooms,half_bathrooms/_source,type,size_sqft,lot_size
,1,realtor_test,realtor_test,1,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,7103 Wolf Rivers Ave Las Vegas NV 89131,495000,$495000,USD,,,4,4,4,4,1,1,Single Family Home,3811,0.32
,2,realtor_test,realtor_test,2,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,10669 Oak Crest Ave Las Vegas NV 89144,240000,$240000,USD,,,3,3,2,2,,,Single Family Home,1622,5662
,3,realtor_test,realtor_test,3,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,128 Celia Pl Las Vegas NV 89145,165000,$165000,USD,,,4,4,2,2,,,Single Family Home,1895,6534
,4,realtor_test,realtor_test,4,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,517 Carpenter Dr Las Vegas NV 89107,120000,$120000,USD,,,4,4,2,2,,,Single Family Home,1286,6534
,5,realtor_test,realtor_test,5,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,6515 Shining Sand Ave Las Vegas NV 89142,170000,$170000,USD,,,4,4,2,2,,,Single Family Home,1521,5227
,6,realtor_test,realtor_test,6,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,9620 Sundial Dr Las Vegas NV 89134,289950,$289950,USD,,,2,2,2,2,,,Condo/Townhome/Row Home/Co-Op,1799,3049
,7,realtor_test,realtor_test,7,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,9053 Captivating Ave Las Vegas NV 89149,149500,$149500,USD,,,3,3,2,2,1,1,Single Family Home,1300,1742
,8,realtor_test,realtor_test,8,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,9425 Grand Mesa Dr Las Vegas NV 89134,137000,$137000,USD,,,2,2,2,2,,,Condo/Townhome/Row Home/Co-Op,1021,2613
,9,realtor_test,realtor_test,9,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-20,10150 Bull Run Grove Ave Las Vegas NV 89166,358990,$358990,USD,,,4,4,3,3,1,1,Single Family Home,3487,6098
,10,realtor_test,realtor_test,10,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,8471 Spirit Vale Ave Unit Lot 60 Las Vegas NV 89117,272565,$272565,USD,,,4,4,2,2,1,1,Single Family Home,2008,3484
,11,realtor_test,realtor_test,11,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,8453 Spirit Vale Ave Unit Lot 57 Las Vegas NV 89117,256440,$256440,USD,,,3,3,2,2,1,1,Single Family Home,1748,3484
,12,realtor_test,realtor_test,12,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,5101 Saffron Dr Las Vegas NV 89142,130000,$130000,USD,,,4,4,2,2,,,Single Family Home,1322,5227
,13,realtor_test,realtor_test,13,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,10245 S Maryland Pw Unit 204 Las Vegas NV 89123,97000,$97000,USD,,,2,2,2,2,,,Condo/Townhome/Row Home/Co-Op,1053,
,14,realtor_test,realtor_test,14,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,571 Roxella Ln Apt D Las Vegas NV 89110,55000,$55000,USD,,,2,2,1,1,,,Condo/Townhome/Row Home/Co-Op,844,1045
,15,realtor_test,realtor_test,15,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,7 Sable Ridge Ct Las Vegas NV 89135,15900000,$15900000,USD,,,5,5,9,9,,,Single Family Home,13255,
,16,realtor_test,realtor_test,16,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,7 Sable Ridge Ct Las Vegas NV 89135,15900000,$15900000,USD,,,5,5,9,9,,,Single Family Home,13255,0.59
,17,realtor_test,realtor_test,17,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,6951 Mira Vista St Las Vegas NV 89120,2150000,$2150000,USD,,,5,5,6,6,1,1,Single Family Home,7677,0.89
,18,realtor_test,realtor_test,18,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,2712 Marie Antoinette St Henderson NV 89044,869900,$869900,USD,,,5,5,5,5,1,1,Single Family Home,4486,0.3
,19,realtor_test,realtor_test,19,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,7610 Eldora Ave Las Vegas NV 89117,749888,$749888,USD,,,5,5,5,5,,,Single Family Home,3424,0.53
,20,realtor_test,realtor_test,20,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-10,9604 Royal Lamb Dr Las Vegas NV 89145,688000,$688000,USD,,,5,5,4,4,,,Single Family Home,3176,6534
,21,realtor_test,realtor_test,21,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,5582 Cotton St Las Vegas NV 89110,135000,$135000,USD,,,4,4,2,2,,,Single Family Home,1326,7405
,22,realtor_test,realtor_test,22,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,5215 Hibbetts Dr Las Vegas NV 89103,205900,$205900,USD,,,3,3,2,2,,,Single Family Home,1640,7840
,23,realtor_test,realtor_test,23,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,5059 Village Dr # 28 Las Vegas NV 89142,90000,$90000,USD,,,3,3,2,2,,,Condo/Townhome/Row Home/Co-Op,1240,2178
,24,realtor_test,realtor_test,24,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,8113 Spanish Peak Ave Las Vegas NV 89128,245000,$245000,USD,,,3,3,2,2,1,1,Condo/Townhome/Row Home/Co-Op,2173,3484
,25,realtor_test,realtor_test,25,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,8329 Wildwood Glen Dr Las Vegas NV 89131,154900,$154900,USD,,,3,3,2,2,1,1,Single Family Home,1497,2613
,26,realtor_test,realtor_test,26,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,8455 W Sahara Ave # 57 Las Vegas NV 89117,75000,$75000,USD,,,1,1,1,1,,,Condo/Townhome/Row Home/Co-Op,663,2090
,27,realtor_test,realtor_test,27,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,10401 Saddle Mountain St Las Vegas NV 89178,284900,$284900,USD,,,3,3,3,3,,,Single Family Home,2118,7405
,28,realtor_test,realtor_test,28,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,11181 Alora St Las Vegas NV 89141,217900,$217900,USD,,,4,4,2,2,1,1,Single Family Home,1816,3920
,29,realtor_test,realtor_test,29,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,2419 Palma Vista Ave Las Vegas NV 89121,171000,$171000,USD,,,4,4,2,2,,,Single Family Home,1572,7405
,30,realtor_test,realtor_test,30,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/pg-8,Las Vegas NV 89121,159900,$159900,USD,,,4,4,2,2,,,Single Family Home,2331,7405
,31,realtor_test,realtor_test,31,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/type-condo-townhome-row-home-co-op,9649 Meeks Bay Ave Las Vegas NV 89148,169900,$169900,USD,,,2,2,2,2,,,Condo/Townhome/Row Home/Co-Op,1305,3920
,32,realtor_test,realtor_test,32,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/type-condo-townhome-row-home-co-op,6380 Elwood Mead Ave Unit 103 Las Vegas NV 89156,142000,$142000,USD,,,3,3,2,2,1,1,Condo/Townhome/Row Home/Co-Op,1685,871
,33,realtor_test,realtor_test,33,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/type-condo-townhome-row-home-co-op,231 Mission Newport Ln Apt 202 Las Vegas NV 89107,52900,$52900,USD,,,2,2,2,2,,,Condo/Townhome/Row Home/Co-Op,876,
,34,realtor_test,realtor_test,34,http://www.realtor.com/realestateandhomes-search/Las-Vegas_NV/type-condo-townhome-row-home-co-op,205 E Harmon Ave # 46 Las Vegas NV 89169,174900,$174900,USD,,,2,2,2,2,,,Condo/Townhome/Row Home/Co-Op,1296,
